word,length,rt,freq
wiggle,4,687.28,152
wiggled,5,724.06,10
wiggling,6,831,29
wigmaker,7,903.93,1
wigwam,6,824.48,16
wild,4,576,2923
wildcat,7,639.32,71
wildcatter,8,899.65,6
wildebeest,9,921.81,22
wilder,5,670.59,106
wilderness,8,802.34,201
wildest,7,763.91,124
wildfire,7,652.18,50
wildlife,7,664.09,98
wildly,6,695.76,98
wildness,7,640.21,12
wile,3,745.5,21
wiles,4,786.38,52
will,3,607.26,108306
willed,4,784.38,29
willful,6,646.74,35
willfully,7,760.97,26
willing,5,625.26,2512
willingly,7,741.18,121
willingness,8,686.35,68
willow,4,663.74,318
willows,5,634.59,97
willowy,5,891.79,3
willpower,6,726.97,54
wills,4,703.23,112
wilt,4,736.14,93
wilted,6,742.33,12
wily,4,839,32
win,3,584.53,6867
wince,4,784.69,12
winced,5,778.04,4
winches,6,900.07,9
wincing,6,788.46,1
wind,4,559.16,3028
windbag,7,744.34,41
windbreak,8,716.94,1
windbreaker,9,774.94,16
winded,6,661.39,18
winder,5,655.68,5
windfall,7,689.35,20
winding,6,698.13,100
windless,7,726.36,1
windmill,7,675.55,65
window,5,640.13,4386
windowless,8,956.97,10
windowpane,8,899.03,13
windowpanes,9,920.3,6
windows,6,612.19,1190
windowsill,8,893.18,33
winds,5,564.79,384
windscreen,9,879.38,14
windshield,8,783.56,167
windsock,7,844.04,1
windstorm,9,684.21,9
windswept,9,895.56,6
windup,6,922.26,11
windward,7,835.7,5
windy,5,608.52,134
wine,3,568.21,3078
wineglass,7,820.38,4
wines,4,614.59,74
wing,3,677.61,1032
winged,4,756.53,58
winger,4,694.08,26
winging,5,740.32,32
wingless,6,824.68,2
wingman,6,814.03,57
wings,4,600.75,1003
wingspan,7,838.6,10
wingspread,8,911.19,2
wink,4,635.25,180
winked,5,680.53,37
winking,6,682.59,22
winless,6,924.79,2
winner,4,587.55,1592
winners,5,611.35,323
winning,5,702.33,1192
winnings,6,735.24,90
wins,4,603.78,988
winsome,5,935.71,6
winter,5,552.24,1337
wintered,6,843.78,4
wintergreen,9,816.69,4
wintering,7,850.06,1
wintertime,8,937.64,22
wintery,6,796.46,1
wintry,6,876.27,11
wipe,3,665.62,861
wiped,4,605.21,401
wiper,4,670.5,29
wiping,5,766.6,111
wire,3,600.67,1403
wired,4,604.83,386
wireless,6,598.09,135
wires,4,614.62,355
wiretap,7,858.77,27
wiring,5,709.45,118
wiry,4,807.74,18
wisdom,6,645.06,565
wise,3,650.97,1452
wisecrack,7,758.66,14
wisely,5,644,81
wiser,4,597.35,132
wisest,6,781.9,36
wish,3,707.09,11991
wishbone,6,670.29,25
wisenheimer,8,1341.67,12
wished,4,583.45,420
wishes,5,559.79,940
wishful,5,685.17,53
wishing,5,645.39,339
wisp,4,671.11,21
wisps,5,719.04,6
wispy,5,837.81,5
wistful,6,727.13,9
wistfully,7,819.93,5
wit,3,653.19,302
witch,3,639.66,1410
witchcraft,8,698.43,140
witches,5,609.56,533
withal,5,793.22,15
withdraw,6,675.65,337
withdrawal,8,714.84,146
withdrawing,8,683.53,40
withdrawn,7,713.31,115
withdrew,6,752.2,53
wither,4,718.26,47
withered,5,800.93,55
withering,6,822.18,21
withheld,7,736.21,52
withhold,7,706.91,53
withholding,9,727.32,96
withstand,8,647.24,83
withstands,9,730.9,2
withstood,7,809.94,11
witless,6,1097.6,24
witness,6,694.65,2621
witnessed,7,781.24,291
witnesses,8,738.41,1005
witnessing,8,833.52,61
wits,4,670.47,146
witty,4,698.09,163
wives,4,636.3,787
wizard,5,607.03,542
wallboard,7,726.67,1
walled,4,753,23
wallet,5,665.94,1163
wallflower,7,723.24,21
wallop,5,783.05,42
walloped,6,815.05,3
walloping,7,872.48,8
wallow,4,915.26,82
wallowed,5,930.13,3
wallowing,6,770.66,41
wallpaper,7,620.76,171
wallpapers,8,657.45,2
walls,4,615.53,1261
walnut,6,637.03,100
walnuts,7,692.03,64
walrus,6,798.48,57
waltz,5,679.97,279
wand,4,696.9,157
wander,5,707.59,299
wandered,6,752.37,176
wanderer,6,788.23,32
wanderers,7,727.44,10
wandering,7,817.88,403
wanderings,8,894.53,8
wanderlust,9,942.73,4
wanders,6,726.94,45
wane,3,740.68,13
waned,4,793.96,6
waning,5,768.24,23
wanker,5,910.86,111
want,4,596.21,140718
wanted,6,531.73,25616
wanting,6,683.13,1251
wanton,5,729.25,42
wants,5,593.35,15655
war,3,580.72,8912
warble,5,807.62,10
warbler,6,848.46,4
warbling,7,805.38,5
ward,4,669.09,727
warden,5,766.29,573
wardens,6,949.69,36
wardrobe,7,763.67,330
wardroom,7,851.67,14
wards,5,678.03,52
warehouse,6,717.76,509
warehouses,8,766.64,34
warehousing,8,803.6,3
wares,4,846.97,17
warfare,6,728.24,150
warhead,6,776.36,165
warhorse,7,744.93,12
warily,6,782.04,1
warlike,6,659.67,14
warlock,6,731.36,185
warlord,7,848.97,39
warm,4,591.53,2659
warmed,5,626.55,112
warmer,5,741.91,184
warmhearted,10,810.32,4
warming,6,617,203
warmly,6,617.03,24
warmonger,8,935.13,7
warmongering,10,982.43,6
warms,5,705.07,44
warmth,5,595.06,227
warmup,6,849.36,2
warn,4,608.58,1293
warned,5,601.45,808
warning,6,612.12,1630
warnings,7,623.97,81
warns,5,730.61,17
warp,4,713.97,280
warped,5,719.1,83
warping,6,787,3
warrant,6,724.61,1060
warranted,8,815.84,19
warrantee,7,931.64,1
warrants,7,633.76,164
warranty,7,733.19,42
warred,4,836.2,2
warring,5,738.75,15
warrior,5,665.52,516
warriors,6,624.3,336
wars,4,594.43,465
warship,6,788.47,48
warships,7,695,33
wart,4,678.97,63
warthog,7,901.74,16
wartime,6,704.41,58
warts,5,663.03,52
warty,5,805.4,4
wary,4,736.93,38
was,3,601.12,288391
wash,3,662.65,2077
washable,6,634.79,6
washbasin,7,866.59,1
washboard,7,755.76,7
washbowl,6,794.94,1
washcloth,7,712.59,19
washday,5,974.75,2
washed,4,620.17,718
washer,4,628.68,104
washes,5,628.25,93
washing,5,669.06,462
washout,5,802.55,38
washroom,6,738.35,86
washstand,8,994.21,2
wasp,4,674.62,73
wassail,5,879.33,2
wastage,6,914.78,1
waste,4,679.03,2716
wastebasket,10,807.19,32
wasted,6,612.76,854
wasteful,6,676.31,30
wasteland,8,670.15,50
wastes,5,692.73,35
wastewater,8,987.86,1
wasting,6,678.9,1135
watch,3,548.06,16831
watchband,7,886.03,7
watchdog,6,703.58,53
watched,4,633.19,1353
watchers,5,641.31,50
watches,5,617.91,406
watchful,5,644.81,20
watching,5,660.42,5081
watchmaker,7,679.1,7
watchman,6,652.06,126
watchmen,6,650.35,9
watchtower,6,763.52,22
water,4,564.88,11478
waterbird,7,944.56,1
watercolor,8,686.28,5
watercolorist,11,1125.97,2
watercolors,9,709.44,21
watercress,8,930.82,4
watered,5,694.53,49
waterfall,7,638.94,95
waterfalls,8,703.97,24
waterfowl,7,664.16,1
waterfront,9,694.97,53
waterhole,7,753.84,7
watering,6,791.12,109
waterline,7,820.97,4
waterlogged,8,843.61,7
watermark,8,828.68,14
watermelon,9,774.87,112
waterproof,8,654.42,50
waterproofing,10,793.7,4
waters,5,580.72,553
watershed,7,784.72,6
waterskiing,9,899.88,4
waterspout,8,827.66,5
watertight,7,875.37,19
waterway,6,684.15,6
waterways,7,694.28,11
waterwheel,8,828.7,1
waterworks,8,783.13,23
watery,5,700.94,36
wattage,5,907.07,9
wattles,5,842,3
wave,3,616.64,1084
waved,4,633.85,105
wavelength,7,691.15,32
wavelengths,8,722.94,17
waver,4,715.2,22
wavers,5,703.06,3
waves,4,534.7,674
waving,5,726.39,266
wavy,4,680.65,28
wax,4,638.15,461
waxed,5,645.33,69
waxen,5,690.35,6
waxing,6,693.48,51
waxwork,7,779.31,2
waxworks,8,805.36,5
waxy,5,631.06,20
way,2,581.32,72661
wayfarer,6,863.11,5
waylaid,5,951.54,13
waylay,4,1075.5,3
ways,3,591.79,2633
wayside,5,631.34,13
wayward,5,816.07,38
weak,3,603.1,1607
weaken,5,647.25,60
weakened,6,659.42,77
weakening,7,758.09,38
weakens,6,691.82,20
weaker,4,612.64,121
weakest,6,715.12,65
weakling,6,796.8,43
weakly,5,629.06,20
weakness,6,575.39,454
weaknesses,8,722.75,110
wealth,4,587.15,324
wealthiest,8,833.3,26
wealthy,5,612.59,376
wean,3,763.91,13
weaned,4,792.79,12
weaning,5,730.33,6
weapon,5,620.74,2379
weaponry,7,1018.54,54
weapons,6,585.71,2065
wear,3,614.15,5576
wearied,5,736.71,7
wearily,6,752.42,3
weariness,7,762.16,5
wearing,5,732,4410
wears,4,631.97,651
weary,4,664.24,212
wearying,6,853.43,3
weasel,5,695.03,250
weather,4,602.94,1746
weatherbeaten,8,1125.06,1
weathered,5,771.94,17
weathering,6,828.32,1
weatherman,7,817.85,107
weatherproof,8,809.67,2
weathers,5,680.1,45
weave,3,599.57,105
weaves,4,713.52,16
weaving,5,659.94,43
web,3,618.74,470
wed,3,613.28,125
wedded,5,770.5,164
wedding,5,605.39,5173
weddings,6,612.55,228
wedge,3,597.37,119
wedged,4,603.24,50
wedlock,6,748.86,54
wee,2,715.14,434
weed,3,583.94,600
weeded,5,668.72,5
weeds,4,597.24,121
week,3,608.48,12164
weekday,5,711.09,22
weekend,6,650.85,3118
weekends,7,658.94,377
weeklies,6,1024.58,6
weekly,5,622.44,237
weeknight,6,832.31,6
weeks,4,658.67,6637
weeny,4,914.24,8
weep,3,593.3,280
weeping,5,749,162
weepy,4,737.22,29
weigh,2,597.09,363
weighed,3,687.35,153
weighing,4,701.76,116
weighs,3,746.67,178
weight,3,544.06,1850
weighted,5,639.18,20
weighting,5,821.44,3
weightless,6,733.33,19
weightlessness,9,978.14,10
weights,4,610.85,136
weighty,4,735.2,12
weird,4,674.76,5156
weirdly,6,732.24,18
weirdo,5,730.15,162
welcome,6,597.18,9140
welcomed,7,728.48,104
welcomes,7,608.45,54
welcoming,8,846.59,133
weld,4,689.92,32
welded,6,728.34,31
welder,5,748,25
welding,6,678.48,28
welfare,6,672.48,402
well,3,638.53,152523
wellbeing,7,791.41,10
wellborn,7,912.4,6
welled,4,829.14,4
wellspring,8,781.48,7
welt,4,837.56,9
welter,5,929.85,1
welterweight,8,894.73,18
welts,5,684.5,13
wench,4,835.12,88
went,4,608.35,20987
wept,4,623.29,71
were,2,652.19,84804
werewolf,7,723.65,227
west,4,582.74,3088
westbound,8,681.67,46
westerly,7,827.15,8
western,6,680.09,679
westerner,7,977.38,10
westerners,8,888.26,22
westernization,11,1067.82,1
westward,7,737.06,24
westwards,8,800.16,1
wet,3,530.03,2000
wetlands,8,682.06,42
wetness,6,647.57,6
wetter,4,750,24
wetting,5,727.52,42
whack,4,677.76,455
whacked,5,723.67,207
whacker,5,787.87,17
whale,4,649.91,574
whalebone,7,989.91,5
whaler,5,735.89,20
whaling,6,761.43,45
wharf,5,747.96,65
wharves,6,898.5,1
whatnot,7,906.81,101
wheat,4,627.88,293
veterinarian,12,940.93,64
veterinarians,13,887.62,8
veterinary,10,767.24,35
veto,4,822.87,46
vetoed,5,810.57,10
vex,4,758.9,10
vexation,7,789.63,3
vexatious,8,735.55,2
vexed,5,889.44,24
vexes,6,760.29,5
vexing,6,765.56,13
viability,9,921.54,9
viable,5,752.31,121
viaduct,7,893.58,11
vial,4,687.7,66
vibes,4,673.16,55
vibrant,7,701,52
vibraphone,8,1025.28,1
vibrate,6,624.24,56
vibrated,8,674.64,4
vibrating,8,750.47,64
vibration,7,673.33,80
vibrato,7,784.69,12
vibrator,7,805.7,60
vicar,4,785.21,75
vicarage,6,1145.09,3
vicarious,8,824.55,13
vice,3,673.66,950
viceroy,5,882.32,22
vices,5,769.97,28
vicinity,8,784.82,153
vicious,5,756.25,438
viciousness,8,813.1,6
vicissitude,9,941,1
vicissitudes,10,1019.78,6
victim,6,651.03,2434
victimization,11,957.35,10
victimize,8,725.38,9
victimized,9,861,39
victims,7,649.79,1196
victories,8,773.56,62
victorious,9,718.13,66
victoriously,11,933.64,1
victory,7,568.03,1094
victuals,5,698.7,6
video,5,579.17,2105
videotape,8,677.24,264
vie,2,753.29,110
vied,3,827.87,4
vies,3,690.45,1
view,3,522.78,1965
viewed,4,651.39,53
viewer,4,663.79,78
viewers,5,665.38,143
viewfinder,8,815.28,4
viewing,5,631.12,109
viewpoint,7,684.47,50
viewpoints,8,659.44,8
views,4,628.85,206
vigil,5,723.04,44
vigilance,8,838.68,26
vigilant,8,735.32,38
vigilante,9,885.52,83
vigilantism,11,1097.42,1
vigor,4,711.5,21
vigorous,6,724.57,35
vigorously,8,730.67,21
vile,3,685.19,226
vilify,6,773.38,8
villa,4,739.5,224
village,5,663.15,1712
villager,6,827.03,10
villagers,7,731.59,127
villages,7,714.87,123
villain,5,749.33,212
villainous,7,1031.11,16
villains,6,704.35,86
villainy,6,869.92,15
vinaigrette,8,1011.1,14
vindicate,8,750.52,6
vindicated,10,997.25,21
vindication,9,1041.28,22
vindictive,9,848.65,54
vine,3,687.81,107
vinegar,6,658.88,86
vines,4,674.35,80
vineyard,6,712.34,142
vineyards,7,733.97,30
vintage,6,732.26,149
vinyl,4,775.56,63
violate,6,656.09,122
violated,8,678.56,233
violates,7,658.16,38
violating,8,697.16,114
violation,7,729.15,385
violations,8,771.97,100
violence,7,623.62,1173
violent,7,641,850
violently,9,780.32,95
violets,7,666.74,53
violin,6,706.9,242
violinist,9,770.73,33
violinists,10,816.21,4
violins,7,737.97,54
viper,4,660.48,129
virgin,5,726.33,961
virginal,6,717.55,24
virginity,8,750.16,199
virile,5,696,33
virility,8,818.08,27
virology,8,815.1,2
virtual,6,614.61,133
virtually,7,704.12,209
virtue,4,644.97,263
virtues,5,771.29,81
virtuosity,9,752.52,9
virtuoso,7,832.84,24
virtuous,6,742.48,88
virulent,8,782.86,11
virus,5,609.79,964
visa,4,597.23,216
visage,5,728.5,10
viscera,6,821.67,6
visceral,7,880.88,9
viscosity,9,894.75,7
viscount,6,949.63,5
viscous,6,767.68,13
vise,3,688.17,20
viselike,6,1089.69,1
visibility,10,734.18,61
visible,6,647.97,253
visibly,7,685.17,8
vision,4,598.74,1218
visionary,7,767.79,66
visions,5,589.66,420
visit,5,569.18,2993
visitation,8,827.68,81
visitations,9,757.71,9
visited,7,641.6,350
visiting,7,651.25,787
visitor,6,673.44,446
visitors,7,661.29,506
visits,6,605.64,233
visor,4,644.91,30
vistas,6,965.36,11
visual,6,651.73,586
visualize,8,756.79,88
visualized,9,722.36,8
visualization,11,826.14,12
visually,7,663.15,42
vital,4,659.68,396
vitalism,7,792,1
vitality,8,718.96,34
vitally,5,730.73,22
vitals,5,730.03,184
vitamin,7,672.61,136
vitamins,8,668.16,181
vitreous,7,859.63,9
vitro,5,986.38,34
viva,4,755.11,159
vivacious,7,760.2,13
vivacity,8,960.08,1
vivid,5,702.88,104
vividly,7,728.03,26
vividness,8,812.47,2
vivified,7,1143.85,1
vivisection,9,908,18
vixen,5,646.93,49
vocabulary,11,775.42,119
vocal,5,614.74,151
vocalist,8,703.3,14
vocalists,9,712.38,2
vocalization,10,878.85,4
vocalize,7,699.94,7
vocally,6,775.29,3
vocals,6,609.47,35
vocation,6,888.13,42
vocational,8,785.38,15
vociferous,9,1015.31,1
vodka,5,616.93,515
vogue,3,678.55,119
voice,3,555.91,4394
voiced,4,680.23,18
voiceless,6,742.48,3
voices,5,554.88,793
void,3,553.52,209
voids,4,701.61,5
volatile,6,800.03,59
volatility,10,782.38,4
volcanic,8,770.32,57
volcano,7,617.38,170
volcanos,8,733.48,3
volition,6,785.27,15
volley,4,776.94,24
volleyball,7,642.27,58
volt,4,645,9
voltage,6,671.55,85
voltages,8,679.36,1
voltaic,7,713.71,1
voltmeter,8,958.86,1
volts,5,708.14,64
voluble,7,722,3
volume,6,631.16,354
volumes,7,694.71,54
voluminous,9,840.22,2
voluntarily,11,804.78,100
voluntary,9,701.19,103
volunteer,8,618.39,475
volunteered,9,797.67,245
volunteering,10,722.79,98
volunteers,9,727,263
voluptuous,9,1001.67,38
vomit,5,661.69,272
vomiting,7,743.34,149
voodoo,4,689.7,243
voracious,7,1004.43,17
vortex,7,847.5,76
vote,3,593.25,1751
voted,5,601.06,354
voter,4,630.82,41
voters,5,646.73,106
votes,4,568.31,400
voting,5,690.03,241
votive,5,678.4,11
voucher,4,759.52,46
vouchers,5,719.06,28
vouching,5,888.03,5
