id	sentence	mean_word_length	mean_syllables	max_syllables	lexical_density	tokens	max_dependency_distance	fin_verbs	mean_band_subtlex	mean_complexity
18	Dadurch verlängert sich die Lebensdauer der Blase erheblich.	6.5	2.125	4	0.5	8	7	1	13.75	2.777777778
19	Die Schichtdicke der Seifenblase lässt sich beobachten: Spiegelt die Oberfläche in bunten Interferenzfarben, ist die Schichtdicke vergleichbar mit der Wellenlänge des Lichts.	6.818181818181818	2.090909090909091	6	0.5454545454545454	22	20	3	14.833333333333334	4.2
20	Bei abnehmender Schichtdicke wird die Seifenhaut zunächst farblos und zum Schluss dunkel.	6.416666666666667	1.8333333333333333	4	0.5	12	6	1	15.833333333333334	3.75
22	Die Blasenwand ist dicker und gleichmäßiger und übersteht auch einen Nadelstich.	6.2727272727272725	1.9090909090909092	4	0.45454545454545453	11	8	2	16.4	3.5
23	Die Erzeugung von Seifenblasen ist möglich, da die Oberfläche einer Flüssigkeit – in diesem Falle des Wassers – eine Oberflächenspannung besitzt, die zu einem elastischen Verhalten der Oberfläche führt.	6.2592592592592595	2	5	0.48148148148148145	27	26	3	13.307692307692308	4.4
25	Das Gegenteil ist jedoch der Fall: Die Oberflächenspannung des Seifenwassers ist nur etwa ein Drittel so groß wie die des Wassers.	5.142857142857143	1.619047619047619	5	0.3333333333333333	21	17	2	13.142857142857142	2.555555556
26	Seifenblasen mit reinem Wasser zu machen ist so schwierig, weil die Oberflächenspannung zu hoch ist, wodurch die Blase sofort zerplatzt.	5.7	1.75	5	0.45	20	14	3	12.222222222222221	3.333333333
27	Zusätzlich verlangsamt die Seife die Verdunstung, so dass die Blasen länger halten.	5.833333333333333	1.8333333333333333	3	0.5833333333333334	12	12	2	12.285714285714286	3.111111111
29	Die Oberflächenspannung ist ebenfalls der Grund für die kugelförmige Gestalt der Seifenblasen.	6.833333333333333	2.0833333333333335	5	0.4166666666666667	12	7	1	15	2.125
30	Durch Minimierung der Oberfläche zwingt sie die Blase in diese Form, da von allen möglichen Formen zu einem gegebenen Volumen die Kugel die kleinste Oberfläche aufweist.	5.461538461538462	1.8461538461538463	4	0.5	26	23	2	13	3.666666667
32	Aufgrund ihres geringen Eigengewichts kommen Seifenblasen diesem Ideal in der Realität sehr nahe.	6.461538461538462	2.230769230769231	4	0.5384615384615384	13	9	1	12.571428571428571	2.357142857
33	Der Begriff Badekultur oder Badewesen bezieht sich auf das Baden in warmem oder kaltem Wasser, das in erster Linie der Reinigung dient, aber auch der Förderung der Gesundheit und des Wohlbefindens.	5.290322580645161	1.7419354838709677	4	0.45161290322580644	31	28	2	13.928571428571429	3
34	Das Dampfbad, heute zur Sauna gezählt, diente ebenfalls diesem Zweck.	5.7	1.7	2	0.5	10	10	1	13	1.555555556
35	Die Ursprünge der europäischen Badekultur liegen in der Antike, als öffentliche Thermen auch eine wichtige soziale Funktion hatten.	6.222222222222222	2.2777777777777777	4	0.5555555555555556	18	14	2	14.1	1.7
36	Mit der Völkerwanderung kam der Zerfall der römischen Badekultur.	6.222222222222222	2.111111111111111	5	0.5555555555555556	9	6	1	15.4	1.666666667
37	Im Byzantinischen Reich dagegen blieb die Tradition bestehen und wurde später von den islamischen Eroberern fortgeführt (etwa in Gestalt des hamm?m).	6	2.0476190476190474	5	0.47619047619047616	21	19	2	12.9	2
38	Im Mittelalter wurde die Tradition auch in Europa wieder aufgenommen, mit den im Vergleich zu den Thermen allerdings bescheiden dimensionierten Badehäusern.	6.380952380952381	2.238095238095238	5	0.38095238095238093	21	14	1	14.75	2.444444444
40	Über private Badezimmer verfügte die große Masse der europäischen Bevölkerung erst ab dem 20Jahrhundert.	6.428571428571429	2.2142857142857144	4	0.5714285714285714	14	11	1	13	1.8
41	Die Bedeutung des Bades in verschiedenen Epochen war immer eng mit den jeweils herrschenden Vorstellungen von Hygiene verknüpft.	6.111111111111111	1.9444444444444444	4	0.5	18	18	1	14	2.2
43	In Mohenjo-Daro lag ein Bad auf der „Zitadelle“ und befand sich in einem Gebäude mit einem 7 × 12 m großen und 2,4 m tiefen Becken, in das zwei Treppen hinabführten.	4.0625	1.53125	4	0.375	32	32	3	12.2	2.444444444
44	Die Wasserversorgung erfolgte über Brunnen.	7.6	2.4	5	0.6	5	3	1	14	1.444444444
45	Die Größe der Anlage deutet an, dass dieses Bad nicht nur der Körperreinigung, sondern wohl auch rituellen Zwecken und dem Vergnügen am Baden dienen sollte.	5.16	1.76	5	0.36	25	24	2	13.11111111111111	3
46	Aber nicht nur in diesem wohl öffentlichen Gebäude fand man Badeeinrichtungen, sondern auch in vielen Häusern der Stadt, die auf ein ausgeprägtes Hygienebedürfnis der Bewohner, vielleicht aber auch auf rituelle Waschungen schließen lassen.	6.151515151515151	1.9696969696969697	6	0.3939393939393939	33	28	2	13	4.181818182
47	Weitere frühe Badeanlagen sind aus dem Alten Reich des Alten Ägyptens (ca 2700–2200 v Chr), aus Mari in Mesopotamien (um 2000 v Chr), auch aus Knossos in der Minoischen Kultur (um 2000 v Chr) sowie aus der Mykenischen Kultur (ab ca 1600 v Chr) bekannt.	4.377777777777778	1.5777777777777777	6	0.3333333333333333	45	55	1	12.727272727272727	2.777777778
48	Im antiken Griechenland und bei den Römern hatte die Badekultur einen sehr hohen Stellenwert.	5.642857142857143	1.9285714285714286	4	0.35714285714285715	14	9	1	15.8	1.8
50	Die im späten 8 Jahrhundert v Chr niedergeschriebene Odyssee, die die Abenteuer des Königs Odysseus von Ithaka und seiner Gefährten auf der Heimkehr aus dem Trojanischen Krieg schildert, belegt in zahlreichen Versen den hohen Stellenwert, den die Griechen einer Reinigung mit Wasser beimaßen.	5.72093023255814	1.8372093023255813	6	0.46511627906976744	43	32	3	13.8	4.285714286
51	So schildert der achte Gesang beispielsweise, wie im Hause des Phaiakenkönigs Alkinoos Odysseus von den Haussklaven ein Bad zubereitet wird, bevor er sich an der Tafel seines Gastgebers niederlässt.	5.758620689655173	1.896551724137931	4	0.3793103448275862	29	31	3	14.272727272727273	4.3
52	Vergleichbare Stellen belegen eine sorgfältige Reinigung vor Gebeten und Opfern und die Sitte, dem Gast zunächst Wasser zu reichen, damit er sich seine Hände waschen könne und ihm anschließend ein Bad anzubieten.	5.5625	1.90625	4	0.5	32	32	2	11.6875	4.7
53	Im 5 Jahrhundert v Chr entstanden öffentliche Badeanstalten mit einem Becken und Wannen sowie einem Salbraum (griechisch ????????? balaneion „Badstube“ bzw ??????? lutron „Bad“).	6.166666666666667	2	5	0.4166666666666667	24	25	1	15.7	2.9
54	Ab dem 4 Jahrhundert wurden öffentliche Bäder zu einer verbreiteten Einrichtung in griechischen Städten.	6.428571428571429	2.142857142857143	4	0.5	14	10	1	13.428571428571429	2
55	Ein bestimmtes Bauschema scheint es nicht gegeben zu haben, man findet Räume mit meist 10 bis 22 Wannen oder Sitzwannen sowohl in rechteckiger (zum Beispiel in Olympia) als auch kreisbogenförmiger Anordnung (zum Beispiel in Gortyn, Gela und Megara Hyblaea).	5.435897435897436	1.7692307692307692	6	0.3333333333333333	39	44	2	13.615384615384615	3.6
57	Neben diesen öffentlichen Bädern gab es auch in Privathäusern bereits Badezimmer.	6.363636363636363	2.1818181818181817	4	0.45454545454545453	11	7	1	13.4	1.5
58	Häufig enthielten sie nur ein Waschbecken in Hüfthöhe.	5.75	1.875	3	0.5	8	7	1	15.75	3.4
61	Es gab außerdem trockene Heißluftbäder.	6.8	2.4	4	0.6	5	4	1	13.666666666666666	1.545454545
62	Das waren kleine Räume, in denen ein Becken mit Holzkohle für Hitze sorgte.	4.6923076923076925	1.6923076923076923	3	0.46153846153846156	13	11	2	12.166666666666666	2.285714286
63	300 Jahre später wurde das so genannte Hypokaustum zur Beheizung der Badeanlagen eingeführt.	6.076923076923077	2.3846153846153846	6	0.5384615384615384	13	14	1	14.285714285714286	2.352941176
65	Da die Athleten sich für die Wettkämpfe mit Sand und Öl einrieben, wurden Schweiß und Schmutz hinterher mit einer Strigilis (Hautschaber) und Wasser entfernt.	5.458333333333333	1.6666666666666667	3	0.4583333333333333	24	27	2	14.090909090909092	3.571428571
66	Es gibt keine Belege, dass Gymnasia vor der römischen Zeit ihren Nutzern bereits heißes Wasser anboten, obwohl dieses zur Entfernung des Öls und Schmutzes besser geeignet gewesen wäre.	5.5	1.8928571428571428	3	0.4642857142857143	28	30	3	12.461538461538462	3.7
67	Die griechischen Sportstätten mit integrierten Bädern waren allerdings bereits zu diesem Zeitpunkt Begegnungsstätten, in denen man sich stundenlang aufhielt.	7.2105263157894735	2.1578947368421053	5	0.42105263157894735	19	13	2	15.75	4.75
69	Die Vorliebe für warme Bäder war in der griechischen Gesellschaft nicht ohne Kritik.	5.461538461538462	1.7692307692307692	3	0.46153846153846156	13	8	1	12.666666666666666	1.733333333
70	Der griechische Komödiendichter Aristophanes (um 450 bis 380 v Chr) zweifelt in Die Wolken daran, ob die sich in warmen Bädern verweichlichenden Griechen noch über die Manneskraft verfügten, die ihre Vorfahren in der Schlacht bei Marathon erfolgreich sein ließen.	5.641025641025641	1.8205128205128205	6	0.41025641025641024	39	31	3	14.333333333333334	3.9
71	Platon (um 428 bis 348 v Chr) plädierte in seinem Dialog Nomoi dafür, heiße Bäder auf Alte und Kranke zu beschränken.	4.428571428571429	1.619047619047619	3	0.38095238095238093	21	15	1	12.571428571428571	2.333333333
72	Noch rigoroser in ihrer Ablehnung waren die Spartaner, die in ihrer Ablehnung warmer Bäder sich auf ihren mythischen Staatsgründer Lykurg beriefen und in ihnen eine Gefahr für die Kriegsfähigkeit ihres Staates sahen.	5.71875	1.96875	4	0.40625	32	32	3	15.307692307692308	5
73	Griechische Ärzte wandten bereits Hydrotherapie an, die sie von den Ägyptern übernommen hatten.	6.230769230769231	1.9230769230769231	4	0.46153846153846156	13	12	2	14.666666666666666	2.133333333
74	Hippokrates war ein bekannter Befürworter der Kaltwasserbehandlungen.	8.857142857142858	3	7	0.42857142857142855	7	5	1	16	2.285714286
75	Er empfahl kalte Wassergüsse bei Rheuma und Gicht sowie kalte Wickel gegen Fieber.	5.3076923076923075	1.8461538461538463	4	0.6153846153846154	13	12	1	14.625	3.071428571
76	Außerdem waren bereits zahlreiche Heilquellen bekannt, von denen viele Göttern geweiht waren.	6.666666666666667	2.1666666666666665	3	0.4166666666666667	12	8	2	13.6	3.625
77	An besonders wirksamen Quellen wurden so genannte Asklepios-Tempel errichtet, die von Kranken aufgesucht wurden und die im Grunde schon Sanatorien waren.	5.909090909090909	2.0454545454545454	5	0.45454545454545453	22	15	3	14.6	3.3
78	Der berühmteste dieser Tempel befand sich in der Stadt Epidauros.	5.5	1.7	4	0.4	10	6	1	11.5	1.454545455
80	Der Ausdruck Fahrradfahren – auch Radfahren oder Radeln, schweizerisch Velofahren – bezeichnet die Fortbewegung auf einem Fahrrad, sei es als Verkehrsmittel im Radverkehr oder als Sportart, die als Freizeitbeschäftigung, zur Erhaltung der Gesundheit oder als sportlicher Wettkampf bis hin zum Leistungssport betrieben wird.	6.682926829268292	2	6	0.4634146341463415	41	38	3	15.894736842105264	4
81	Die Durchschnittsgeschwindigkeiten beim Fahrradfahren liegen für gewöhnlich bei 10 bis 25 km/h.	6.916666666666667	2	7	0.4166666666666667	12	8	1	15.2	1.555555556
82	Ein Fahrrad mit limitierter Tretunterstützung („Pedelec“) unterstützt den Fahrer bis zu einer Geschwindigkeit von 25 km/h, bestimmte Modelle sogar bis 45 km/h (S-Pedelec).	5.875	2	5	0.5416666666666666	24	21	1	15.76923076923077	2.333333333
83	Bei der Tour de France liegt die höchste Durchschnittsgeschwindigkeit eines Fahrers bei 41 km/h.	5.857142857142857	1.6428571428571428	6	0.35714285714285715	14	9	1	14.6	1.3
84	Bei Abfahrten werden teilweise Geschwindigkeiten über 100 km/h erreicht.	7	2.111111111111111	5	0.4444444444444444	9	9	1	16.25	1.4
85	Ohne Höhenunterschiede werden höhere Durchschnittsgeschwindigkeiten erreicht: Der Stundenweltrekord für normale Fahrräder liegt seit 2005 bei 50 km/h, mit besonders aerodynamischen Fahrrädern bei 56 km/h.	7.416666666666667	2.375	7	0.5	24	14	2	16	2.933333333
86	Der Geschwindigkeitsweltrekord, der in Bergabfahrt auf einem speziell angefertigten Mountainbike ohne Hilfsantrieb erreicht wurde, liegt bei 223,3 km/h.	7.333333333333333	2.2222222222222223	7	0.4444444444444444	18	17	2	16.5	3.3
87	Der allgemeine Stundenweltrekord für ausschließlich mit eigener Muskelkraft betriebene Fahrzeuge liegt deutlich über dem Rekord mit einem klassischen Rennrad.	7.315789473684211	2.263157894736842	5	0.5789473684210527	19	11	1	14.272727272727273	3.272727273
88	Die Französin Barbara Buatois fuhr mit einem vollverkleideten Liegerad am 19 Juli 2009 im US-amerikanischen Romeo eine Strecke von 84,02 km, womit sie als erste Frau eine Strecke von mehr als 80 km in einer Stunde mit einem Liegerad zurücklegte.	5.1	1.825	6	0.4	40	39	2	13.125	3.666666667
89	Den aktuellen Stundenweltrekord der Männer hält der Schweizer Francesco Russo; er fuhr am 26 Juni 2016 im deutschen Klettwitz 92,43 km.	5.380952380952381	1.7142857142857142	5	0.47619047619047616	21	12	2	12.5	2.6
90	Ohne Eingriffe durch den Fahrer würde ein Rad innerhalb kürzester Zeit umfallen.	5.666666666666667	1.9166666666666667	3	0.5	12	12	1	11.5	2.125
91	Der Fahrer hält das System Fahrrad/Fahrer mit kleinen Lenkausschlägen im Gleichgewicht.	6.333333333333333	1.8333333333333333	4	0.5833333333333334	12	11	1	11.142857142857142	2.8
92	In den letzten Jahren wurden durch die Zunahme des Radfahrens auch vermehrt die medizinischen Aspekte des Fahrradfahrens untersucht.	6.333333333333333	2.0555555555555554	5	0.5	18	18	1	13.444444444444445	2.222222222
93	Generell gilt Fahrradfahren als sehr gesund (Herz- und Kreislauftraining) und gelenkschonend.	7.181818181818182	2.090909090909091	4	0.6363636363636364	11	13	1	15	1.875
94	Dabei kommt es aber darauf an, eine gute Ergonomie für den gesamten Körper herzustellen.	5.214285714285714	1.9285714285714286	4	0.42857142857142855	14	14	1	10.5	3.1
95	Nicht alle Arten des Radfahrens erreichen dies in gleicher Weise.	5.5	1.8	3	0.5	10	6	1	12.6	1.7
96	Untersuchungen unter anderem des ADFC haben ergeben, dass die Haltung auf dem sogenannten Reiserad bei richtiger Rahmengröße und richtigem Sattel die Haltung ist, die der menschlichen Anatomie am stärksten entgegenkommt.	6.266666666666667	2.1	5	0.4666666666666667	30	27	3	13.857142857142858	4.722222222
97	Wichtig ist, beim Fahrradfahren eine möglichst gleichmäßige Belastung der Kontaktpunkte des Fahrers mit dem Fahrrad gemäß der natürlichen Anatomie des Menschen zu erreichen.	6.478260869565218	2.0869565217391304	4	0.4782608695652174	23	25	1	13.090909090909092	2.1
98	Dabei trägt naturgemäß der Fuß mit dem Kontaktpunkt Pedal den größten Teil des Körpergewichtes, und der Fuß ist von Natur auch dafür geschaffen, die Körperlast zu tragen.	5.222222222222222	1.7037037037037037	5	0.4074074074074074	27	28	2	12	3
99	Um die ergonomischste Rückenhaltung zu erreichen, sollte die Sitzhaltung idealerweise so sein, dass die imaginäre Linie zwischen Schulterblatt und höchstem Punkt des Pedals senkrecht ist.	6.4	2	5	0.44	25	15	2	15.545454545454545	3.466666667
100	Um eine optimale Versorgung der Füße und eine möglichst geringe Belastung der Knie zu erreichen, sollte die Sattelhöhe so eingestellt werden, dass beim Treten der Pedale am tiefsten Punkt das Bein immer noch leicht angewinkelt ist.	5.361111111111111	1.8333333333333333	4	0.4444444444444444	36	21	2	12.375	4.6
101	Als zweitgrößte Belastungszone ist der Kontakt zwischen Gesäß und Sattel anzusehen.	6.545454545454546	2.1818181818181817	5	0.5454545454545454	11	11	1	14.5	3.3
102	Dieser Berührungspunkt kann insbesondere daher problematisch werden, da das menschliche Becken mit seinen Sitzbeinhöckern und dem Schambein (bzw den Schambeinkufen, auch Schambeinkamm genannt) durch den Kippwinkel des Beckens Auswirkungen auf die Biegung der gesamten Wirbelsäule hat.	6.777777777777778	2.0833333333333335	5	0.4166666666666667	36	35	2	15.666666666666666	5.888888889
103	Somit kann eine falsche Beckenhaltung (zB um Missempfindungen aufgrund des Sattels zu vermeiden) zu einer starken Belastung der Wirbelsäule führen.	6.25	2.1	5	0.45	20	22	1	14	3.7
104	Gleichfalls problematisch wird ein falscher Beckenwinkel auf dem Sattel für den gesamten Beckenbereich, da dieser Bereich stark mit Blut- und Nervenbahnen durchzogen ist, die auf der Innenseite der Oberschenkel liegen und die die unteren Gliedmaße zu versorgen haben.	5.973684210526316	1.894736842105263	4	0.4473684210526316	38	39	4	14.411764705882353	5.2
105	Werden diese Versorgungsbahnen durch ein Aufliegen des Schambeins bzw der Schambeinkufen / des Schambeinkamms auf dem Sattel längere Zeit eingeengt oder gar gequetscht, können dadurch Schädigungen der entsprechenden Gefäße und Versorgungsbahnen entstehen.	7.129032258064516	2.161290322580645	5	0.4838709677419355	31	33	2	16.133333333333333	6.3
106	Daher ist es notwendig, die Hauptbelastung dieses Kontaktpunktes auf die Sitzhöcker zu bringen und möglichst wenig Druck auf den Bereich der Schambeinkufen, des Damms, der Genitalien und der innenliegenden obersten Teile der Oberschenkel auszuüben.	6.205882352941177	1.9705882352941178	5	0.4411764705882353	34	34	1	14.733333333333333	4.75
107	Schließlich bilden die Hände mit dem Lenker den dritten Kontaktpunkt zwischen Radfahrer und Fahrrad.	6.142857142857143	1.7857142857142858	3	0.5	14	13	1	13.428571428571429	2.6
108	Auch hier sind medizinische Aspekte zu beachten, um eine optimale Blut- und Nervenversorgung der Hände und Finger zu gewährleisten.	5.842105263157895	2.1052631578947367	5	0.47368421052631576	19	14	1	13.666666666666666	2.666666667
109	Dabei spielt die Entfernung des Lenkers zum Gesäß des Radfahrers genauso eine wichtige Rolle wie die Lenkerform (Biegung) und die Höhe des Lenkers, der optimalerweise in gleicher Höhe wie die Mitte der Beckenknochen sein sollte.	5.428571428571429	1.8571428571428572	6	0.42857142857142855	35	38	2	14.533333333333333	4
111	Der Abstand zwischen beiden Händen (gemessen vom kleinen Finger der einen zum kleinen Finger der anderen Hand) sollte nur unwesentlich den Abstand der Schulterblätter übersteigen.	6.08	1.92	4	0.52	25	29	1	11.153846153846153	3.357142857
112	Die Hand sollte die gerade Verlängerung des Unterarms bilden und weder nach oben noch nach unten geknickt werden, um so durch das Handgelenk eine permanente und ungehinderte Blutversorgung der gesamten Hand sicherzustellen.	5.9375	2	5	0.375	32	25	1	14	4.7
113	Wird das Gewicht gleichmäßig auf die drei Kontaktpunkte verteilt, entsteht ein zusätzlicher Druckpunkt an der Wirbelsäule zwischen den Schultern, dort wo die Arme ansetzen.	6.083333333333333	1.8333333333333333	4	0.4583333333333333	24	16	3	13.545454545454545	3.133333333
114	Als grobe Richtlinie sollten die imaginären Verbindungslinien der drei Kontaktpunkte und des Schulterblattes eine Raute darstellen, deren Seiten möglichst etwa gleich lang sein sollten.	6.666666666666667	2.125	6	0.4166666666666667	24	16	2	15	3.647058824
115	Ein Geldautomat, Geldausgabeautomat (GAA), Bankautomat, Bankomat, Bancomat oder wie im Englischen ATM (Automated Teller Machine) ist ein technisches Gerät zur Bargeldabhebung in Selbstbedienung bei Geld- und Kreditinstituten vom eigenen Giro- oder Kreditkartenkonto (siehe auch Electronic Cash).	6.888888888888889	2.388888888888889	7	0.4444444444444444	36	28	1	16.866666666666667	2.727272727
117	Der Geldausgabeautomat war – noch vor dem PC – das erste Computerterminal, das breiten Bevölkerungsschichten weltweit zugänglich war.	7	2.3125	7	0.5	16	12	2	15.125	2.125
118	In Deutschland hat sich der Begriff Geld(ausgabe)automat durchgesetzt.	6.1	1.8	3	0.3	10	11	1	13.666666666666666	1.7
119	In Österreich ist der Begriff Bankautomat bzw Bankomat etabliert, in der Schweiz und in Liechtenstein wird der Begriff Bancomat für Automaten, deren Betreiber eine Bank ist, sowie Postomat für Automaten der Post verwendet.	5.636363636363637	1.878787878787879	4	0.36363636363636365	33	28	3	14.416666666666666	3
120	Im englischsprachigen Raum (UK) ist die Bezeichnung Cash Dispenser, (USA, Australien) Automated Teller Machine (englisch teller ‚Schalterbeamter‘) oder Automatic Teller Machine (ATM) oder wie in Kanada Automated Banking Machine (ABM) üblich.	6.32258064516129	2.225806451612903	5	0.22580645161290322	31	46	1	13.428571428571429	2.125
121	Gebräuchlich sind Bezeichnungen wie Cash Machine, Money Machine, Cashpoint, Cashline oder bauartbezogen Hole in the Wall („Loch in der Wand“).	5.75	1.9	5	0.25	20	27	1	14.2	2.666666667
123	Eine Unterteilung wird gleichfalls nach standortbedingter Bauform vorgenommen.	8.75	2.625	5	0.5	8	8	1	18.25	3.444444444
127	Die Bezahlmöglichkeit per Karte und einen ähnlichen Aufbau sowie ähnliche Sicherheitsproblematik wie ein Geldautomat besitzen Fahrkartenautomaten und andere Selbstbedienungsautomaten.	8.631578947368421	3	8	0.5789473684210527	19	15	1	14.818181818181818	3.928571429
128	Das Kernstück eines „GAA“ ist ein gepanzerter Tresor, der in Deutschland in der Regel vier Geldkassetten enthält, die jeweils 2800 Euro-Geldnoten aufnehmen können.	5.625	1.7916666666666667	4	0.375	24	20	3	14.777777777777779	2.777777778
129	Der Tresor ist in der Regel fest eingemauert oder auf andere Weise mit dem Boden oder der Wand armiert.	4.421052631578948	1.5263157894736843	4	0.47368421052631576	19	12	1	11.333333333333334	2.2
130	Weitergehende Sicherungsmaßnahmen können eine Videoüberwachung und eine Zugangskontrolle durch einen Türöffner sein, denn viele GAA befinden sich in Vorräumen der Geschäftsstellen der Banken, sodass sie auch außerhalb der Schalteröffnungszeiten zugänglich sind.	7.354838709677419	2.3548387096774195	6	0.3870967741935484	31	22	3	17.416666666666668	3.8
132	Die Softwareausstattung besteht aus einem üblichen Betriebssystem wie beispielsweise Windows XP, Gerätetreibern, einer Kommunikationsschicht (zB CEN/XFS oder J/XFS) und einer Anwendung, die den Geldautomaten steuert und die Kommunikation mit der Gegenstelle (Server/Host) organisiert.	7.393939393939394	2.4242424242424243	7	0.36363636363636365	33	38	2	15.416666666666666	3.6
133	Frühe Geldautomaten wurden hardwarenah durch einen Großrechner gesteuert.	8.125	2.625	5	0.625	8	8	1	15.4	2.25
134	Heutzutage sind neben einem Standard-PC auch PC-typische Betriebssysteme im Einsatz.	7.4	2.5	5	0.4	10	11	1	17.5	2
135	Im Jahr 2007 waren früh eingesetzte Betriebssysteme wie MS-DOS und OS/2 bei Geldautomaten bereits selten anzutreffen, während Microsoft Windows den Markt bei Geldautomaten zu dominieren begann.	6.384615384615385	2.1538461538461537	5	0.4230769230769231	26	17	2	13.181818181818182	3.6
136	Linux-basierte Systeme sind zurzeit nur in wenigen lokalen Märkten wie Brasilien anzutreffen.	6.75	2.5	5	0.4166666666666667	12	12	1	15.8	2
137	Viele Automaten verfügen mittlerweile über eine Sprachauswahl, damit der Kunde die Sprache auswählen kann, die der GAA auf dem Bildschirm anzeigt.	5.857142857142857	1.9047619047619047	4	0.38095238095238093	21	21	3	13.5	2.090909091
138	Für den barrierefreien Zugang verfügen einige GAA über größere Tasten und Displays sowie über einen Kopfhöreranschluss oder Lautsprecher zur Sprachausgabe, um Menschen mit einer Sehbehinderung die Bedienung zu erleichtern oder überhaupt erst möglich zu machen.	6.4	2.057142857142857	5	0.45714285714285713	35	33	1	14.0625	4
140	Prototypen waren in Gelsenkirchen und Gütersloh im Einsatz.	6.375	2.25	4	0.25	8	9	1	12.5	2.777777778
141	Einige GAA wurden für Rollstuhlfahrer oder kleine Menschen optimiert: Zugänge zu Bankautomaten wurden mit Rampen versehen, um Treppen umgehen zu können.	6.142857142857143	2.142857142857143	5	0.5238095238095238	21	15	2	14	2.333333333
142	Bei einigen Automaten wurde die Greifhöhe abgesenkt; Tastatur und Ein/Ausgabe-Schächte befinden sich in einem geringeren Abstand zum Boden als bei Standardgeräten.	6.363636363636363	2.272727272727273	5	0.5	22	12	2	15.636363636363637	3.9
143	Insbesondere in den USA, Kanada und einigen Golfstaaten gibt es auch Bankautomaten, die aus dem Auto heraus bedient werden können.	5.4	1.95	5	0.25	20	13	2	12.2	2.333333333
144	Geldautomaten waren ursprünglich in Bankfilialen installiert, aber mit der Netzanbindung kamen andere Standorte hinzu.	7.357142857142857	2.5	5	0.5714285714285714	14	10	2	13.875	1.666666667
145	Besonders verbreitet sind Geldautomaten in Tankstellen, Einkaufszentren, Supermärkten, Bahnhöfen und Flughäfen.	8.818181818181818	2.8181818181818183	5	0.6363636363636364	11	13	1	15.571428571428571	1.3
146	Die mobile Installation ist möglich; Geldautomaten gehören auf großen Kreuzfahrtschiffen und Fährschiffen zum Standard.	7.428571428571429	2.4285714285714284	5	0.6428571428571429	14	9	2	13.555555555555555	2.7
